Open time,Open,Close,High,Low,Volume,Amount
43095,13350000005,13350000005,13350000005,13350000005,7681,10254135
43095,13350000006,13350000006,13350000006,13350000006,21746,29030910013
43095,13350000006,13350000006,13350000006,13350000006,54366,7257861004
43095,13350000006,13350000006,13350000006,13350000006,2197936,29342445613
43095,13350000006,13350000006,13350000006,13350000006,206941,2762662351
43095,13351000006,13351000006,13351000006,13351000006,42193,563318743
43095,13350000006,13350000006,13350000006,13350000006,1346042,17969660708
43095,13899999989,13899999989,13899999989,13899999989,119957,1667402299
43095,13799999988,13799999989,13799999989,13799999988,60151624,830092410509
43095,1389999999,1423626707,14236267071,1389999999,20963346,298312710785
43095,13999999999,13999999999,13999999999,13999999999,1096921,15356893999
43095,13260000003,13260000003,13260000003,13260000003,06129,8127054
43095,135990,140000,140000,135990,118079,1649096
43095,144990,14657999999,14657999999,144990,2997152,43922714013
43095,13599000002,14657999999,14657999999,13599000002,35105,507553215
43095,146580,14685999999,14685999999,146580,187,274623966045
43095,146860,14340305243,149940,14340305242,72240015,1073578900889
43095,14340305243,14340305243,14340305243,14340305243,11534029,165401496542
43095,14340305243,14340305243,14340305243,14340305243,1177498,16885680743
43095,14340305243,14340305243,14340305243,14340305243,3122053,44771193006
43095,14340305243,14340305243,14340305243,14340305243,5664626,81232465928
43095,14340305243,14050391211,14340305243,14050391211,1495295,21250635146
43095,14050391211,14340305243,14340305243,14050391211,12311566,173016999396
43095,14340305243,14340305243,14340305243,14340305243,740359,10616974049
43095,14340305243,14340305243,14340305243,14340305243,11259791,161468839912
43095,14340305243,14340305243,14340305243,14340305243,3979711,57070270519
43095,14340305243,14340305243,14340305243,14340305243,1874885,26886423195
43095,14340305243,14340305243,14340305243,14340305243,4450097,6381574934
43095,14340305243,14050391211,14340305243,14050391211,5034101,72118643674
43095,136000,136000,136000,136000,407404,55406944
43095,141000,141000,141000,141000,1040389,146694849
43095,13600000009,13599000001,13600000009,13599000001,9075528,123419513769
43095,13599000001,13599000001,13599000001,13599000001,2168334,29487174068
43095,13599000001,13599000001,13599000001,13599000001,3324383,4520828442
43095,13261000001,13261000001,13261000001,13261000001,560946,7438704907
43095,13260000001,132500,13261000001,132500,3522691,46697205932
43095,132500,132500,132500,132500,46477,61582025
43095,132500,132500,132500,132500,1322517,1752335025
43095,132500,132500,132500,132500,765092,10137469
43095,132500,132500,132500,132500,02509,3324425
43095,132500,132500,132500,132500,1846352,24464164
43095,132500,132500,132500,132500,1152,15264
43095,132500,13249999999,132500,13249999999,6641686,88002339497
43095,132500,132500,132500,132500,11628037,15407149025
43095,132500,132500,132500,132500,3506826,464654445
43095,132500,132500,132500,132500,80396,1065247
43095,14199999998,14199999998,14199999998,14199999998,239898,34065516
43095,13251000001,13251000001,13251000001,13251000001,387093,5129369343
43095,13251000003,13251000005,13251000005,13251000003,387146,5130071647
43095,13999999999,13999999999,13999999999,13999999999,35,490
43095,132500,132500,132500,132500,10800044,143100583
43095,132500,132500,132500,132500,2743401,3635006325
43095,13249999997,13249999998,13249999998,13249999997,49035249,649717049123
43095,132500,132500,132500,132500,317926,42125195
43095,132500,132500,132500,132500,10934315,14487967375
43095,132500,132500,132500,132500,242689,321562925
43095,132500,132500,132500,132500,1825145,2418317125
43095,138000,138000,138000,138000,27389386,3779735268
43095,138000,138000,138000,138000,1298614,179208732
43095,137000,137000,137000,137000,28688,3930256
43095,13249999999,13249999999,13249999999,13249999999,477522,63271665
43095,132500,132500,132500,132500,122088,1617666
43095,137000,137000,137000,137000,14344,1965128
43095,135000,135000,135000,135000,889947,120142845
43095,135000,135000,135000,135000,288,3888
43095,135000,135000,135000,135000,288,3888
43095,135000,137000,137000,135000,1948482,263280988
43095,135000,135000,135000,135000,45373525,6125425875
43095,13699999999,13699999999,13699999999,13699999999,16797977,230132284883
43095,13699999999,13699999999,13699999999,13699999999,131419,18004402999
43095,13699999998,13400000001,13699999998,13400000001,5454102,73768097398
43095,13400000002,13400000002,13400000002,13400000002,78298,10491932
43095,13400000002,13400000002,13400000002,13400000002,505105,6768407001
43095,137000,137000,137000,137000,2061,282357
43095,13699999999,13699999999,13699999999,13699999999,3649635,49999999496
